id,Brands,sites,Targeting,Название креатива,Ad copy format,Rotation type,Duration,Skippable,Sound,Start date,Stop date,Impression (plan),Frequency (Fact),Reach 1+ (fact),Impressions (fact),Impressions (delta),Click (fact),CTR % (fact),Viewable impressions (fact),Viewability rate % (fact),Views 25%,Views 50%,Views 75%,Views 100%,25%,25% sec,50%,50% (sec),75%,75% (sec),100%,100% sec
258,Бренд 3,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,13.11.2023,19.11.2023,2000000,1.5,1318776,1945757,-3%,6779,0.35%,1150064,59%,1542710,1315036,1198704,1150064,79%,3.8,68%,7.5,62%,11.3,59%,15.0
161,Бренд 3,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,23.10.2023,29.10.2023,2000000,2.2,885496,1968104,-2%,6538,0.33%,1161591,59%,1566070,1344884,1213600,1161591,80%,3.8,68%,7.5,62%,11.3,59%,15.0
289,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,1.11.2023,5.11.2023,1125000,1.5,750998,1125000,0%,6221,0.55%,663070,59%,834273,722927,684924,663070,74%,3.8,64%,7.5,61%,11.3,59%,15.0
208,Бренд 2,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,6.11.2023,12.11.2023,1375000,1.5,913713,1343845,-2%,6077,0.45%,791396,59%,1031187,871306,818576,791396,77%,3.8,65%,7.5,61%,11.3,59%,15.0
420,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,27.11.2023,3.12.2023,4914286,1.8,3047319,5461428,11%,10604,0.19%,3214694,59%,5047709,4183553,3583342,3214694,92%,2.5,77%,5.0,66%,7.5,59%,10.0
403,Бренд 2,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,15.1.2024,21.1.2024,1375000,1.4,981473,1374401,-0%,10306,0.75%,807508,59%,1080793,906664,845892,807508,79%,3.8,66%,7.5,62%,11.3,59%,15.0
216,Бренд 5,VK (Mytarget),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,6.11.2023,12.11.2023,1000000,1.5,666678,999411,-0%,8201,0.82%,586895,59%,780867,664746,614578,586895,78%,3.8,67%,7.5,61%,11.3,59%,15.0
276,Бренд 3,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,20.11.2023,26.11.2023,2000000,1.5,1263971,1939243,-3%,9015,0.46%,1138173,59%,1536806,1309617,1192337,1138173,79%,3.8,68%,7.5,61%,11.3,59%,15.0
213,Бренд 5,VK (Mytarget),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,30.10.2023,5.11.2023,992471,1.4,679756,974184,-2%,6900,0.71%,571661,59%,722995,631905,592115,571661,74%,3.8,65%,7.5,61%,11.3,59%,15.0
486,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,skippable as of sec 5 - 10 -15,sound on / off,29.1.2024,31.1.2024,392857,1.2,315949,392855,-0%,2297,0.58%,230354,59%,305511,255045,238930,230354,78%,2.5,65%,5.0,61%,7.5,59%,10.0
